# core width data from Keski-Rahkonen and Krause (1974)
# Z  Symbol  Edge  Core Width(eV)
 56    Ba    N1      5.8896
 56    Ba    N2      3.2861
 56    Ba    N3      3.2861
 56    Ba    N4      0.1516
 56    Ba    N5      0.1516
 56    Ba    O1      0.1000
 56    Ba    O2      0.1000
 56    Ba    O3      0.1000
 57    La     K      17.0573
 57    La    L1      4.3753
 57    La    L2      3.7430
 57    La    L3      3.1601
 57    La    M1      11.2390
 57    La    M2      6.2416
 57    La    M3      6.2416
 57    La    M4      0.9292
 57    La    M5      0.8198
 57    La    N1      6.5199
 57    La    N2      3.6253
 57    La    N3      3.6253
 57    La    N4      0.2297
 57    La    N5      0.2297
 57    La    O1      0.1000
 57    La    O2      0.1000
 57    La    O3      0.1000
 58    Ce     K      18.2816
 58    Ce    L1      4.5244
 58    Ce    L2      3.8584
 58    Ce    L3      3.2696
 58    Ce    M1      11.5721
 58    Ce    M2      6.5716
 58    Ce    M3      6.5716
 58    Ce    M4      1.0000
 58    Ce    M5      0.8700
 58    Ce    N1      7.2177
 58    Ce    N2      3.9995
 58    Ce    N3      3.9995
 58    Ce    N4      0.3482
 58    Ce    N5      0.3482
 58    Ce    N6      0.0010
 58    Ce    N7      0.0010
 58    Ce    O1      0.1000
 58    Ce    O2      0.1000
 58    Ce    O3      0.1000
 59    Pr     K      19.5937
 59    Pr    L1      4.6787
 59    Pr    L2      3.9774
 59    Pr    L3      3.3828
 59    Pr    M1      11.9150
 59    Pr    M2      6.9190
 59    Pr    M3      6.9190
 59    Pr    M4      1.0801
 59    Pr    M5      0.9160
 59    Pr    N1      7.9902
 59    Pr    N2      4.4123
 59    Pr    N3      4.4123
 59    Pr    N4      0.5278
 59    Pr    N5      0.5278
 59    Pr    N6      0.0010
 59    Pr    N7      0.0010
 59    Pr    O1      0.1000
 59    Pr    O2      0.1000
 59    Pr    O3      0.1000
 60    Nd     K      21.0000
 60    Nd    L1      4.8382
 60    Nd    L2      4.1000
 60    Nd    L3      3.5000
 60    Nd    M1      12.2681
 60    Nd    M2      7.2848
 60    Nd    M3      7.2848
 60    Nd    M4      1.1665
 60    Nd    M5      0.9645
 60    Nd    N1      8.8453
 60    Nd    N2      4.8678
 60    Nd    N3      4.8678
 60    Nd    N4      0.8000
 60    Nd    N5      0.8000
 60    Nd    N6      0.0010
 60    Nd    N7      0.0010
 60    Nd    O1      0.1000
 60    Nd    O2      0.1000
 60    Nd    O3      0.1000
 61    Pm     K      22.1318
 61    Pm    L1      5.0032
 61    Pm    L2      4.1890
 61    Pm    L3      3.5767
 61    Pm    M1      12.6316
 61    Pm    M2      7.6699
 61    Pm    M3      7.6699
 61    Pm    M4      1.2599
 61    Pm    M5      1.0155
 61    Pm    N1      9.7919
 61    Pm    N2      5.3702
 61    Pm    N3      5.3702
 61    Pm    N4      1.0071
 61    Pm    N5      1.0071
 61    Pm    N6      0.0010
 61    Pm    N7      0.0010
 61    Pm    O1      0.1000
 61    Pm    O2      0.1000
 61    Pm    O3      0.1000
 62    Sm     K      23.3245
 62    Sm    L1      5.1737
 62    Sm    L2      4.2800
 62    Sm    L3      3.6551
 62    Sm    M1      13.0059
 62    Sm    M2      8.0753
 62    Sm    M3      8.0753
 62    Sm    M4      1.3608
 62    Sm    M5      1.0692
 62    Sm    N1      10.8399
 62    Sm    N2      5.9245
 62    Sm    N3      5.9245
 62    Sm    N4      1.2679
 62    Sm    N5      1.2679
 62    Sm    N6      0.0010
 62    Sm    N7      0.0010
 62    Sm    O1      0.1000
 62    Sm    O2      0.1000
 62    Sm    O3      0.1000
 63    Eu     K      24.5815
 63    Eu    L1      5.3501
 63    Eu    L2      4.3729
 63    Eu    L3      3.7352
 63    Eu    M1      13.3913
 63    Eu    M2      8.5022
 63    Eu    M3      8.5022
 63    Eu    M4      1.4697
 63    Eu    M5      1.1257
 63    Eu    N1      12.0000
 63    Eu    N2      6.5360
 63    Eu    N3      6.5360
 63    Eu    N4      1.5962
 63    Eu    N5      1.5962
 63    Eu    N6      0.0010
 63    Eu    N7      0.0010
 63    Eu    O1      0.1000
 63    Eu    O2      0.1000
 63    Eu    O3      0.1000
 64    Gd     K      25.9063
 64    Gd    L1      5.5326
 64    Gd    L2      4.4678
 64    Gd    L3      3.8171
 64    Gd    M1      13.7881
 64    Gd    M2      8.9517
 64    Gd    M3      8.9517
 64    Gd    M4      1.5874
 64    Gd    M5      1.1853
 64    Gd    N1      12.2048
 64    Gd    N2      7.2107
 64    Gd    N3      7.2107
 64    Gd    N4      2.0095
 64    Gd    N5      2.0095
